"accession","species","tissue"
"ENCFF658HGG","Mus_musculus","stomach"
"ENCFF661PFM","Mus_musculus","kidney"
"ENCFF661XFW","Mus_musculus","liver"
"ENCFF663ZMH","Mus_musculus","stomach"
"ENCFF666HCT","Mus_musculus","stomach"
"ENCFF667XVU","Mus_musculus","lung"
"ENCFF668DTL","Mus_musculus","kidney"
"ENCFF670AKD","Mus_musculus","liver"
"ENCFF670GZL","Mus_musculus","liver"
"ENCFF671EJH","Mus_musculus","kidney"
"ENCFF673DIS","Mus_musculus","cerebellum"
"ENCFF674MTJ","Mus_musculus","cerebellum"
"ENCFF675GVO","Mus_musculus","kidney"
"ENCFF675QOY","Homo_sapiens","stomach"
"ENCFF676BRT","Mus_musculus","liver"
"ENCFF677DDX","Mus_musculus","lung"
"ENCFF681QSY","Mus_musculus","lung"
"ENCFF684IEH","Mus_musculus","stomach"
"ENCFF684OOF","Mus_musculus","cerebellum"
"ENCFF685FIW","Mus_musculus","stomach"
"ENCFF685NXZ","Mus_musculus","lung"
"ENCFF687ATA","Mus_musculus","kidney"
"ENCFF688AJO","Homo_sapiens","lung"
"ENCFF688ZFD","Mus_musculus","liver"
"ENCFF689VXG","Mus_musculus","stomach"
"ENCFF690HYA","Mus_musculus","kidney"
